Title,Harga,Kondisi,Tahun Kendaraan,Kilometer,Warna,Cakupan mesin,Transmisi,Penumpang,Pintu,Dirakit,Tipe Bahan Bakar
2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Rp 630.000.000,Mobil Bekas,2022,10 - 15K km,Lainnya,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
"2022 Tesla Model Y ,0 Standard Range Wagon",Rp 1.390.000.000,Mobil Bekas,2022,153 km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
"2020 Tesla Model 3 0.0 Standard Range Plus Sedan, Hub Kevin 0852 1399 2219",Rp 900.000.000,Mobil Bekas,2020,15 - 20K km,Silver,cc,Automatic,5,4,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback Like New Low Km 5Rban,Rp 235.000.000,Mobil Bekas,2022,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2020 Hyundai IONIQ 0.0 Electric Signature Fastback,Rp 420.000.000,Mobil Bekas,2020,85 - 90K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback Avocado Green LOW KM 4RB,Rp 210.000.000,Mobil Bekas,2022,2500 km,Hijau,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2021 Hyundai Kona 0.0 Signature Wagon Electric Vehicle EV,Rp 399.000.000,Mobil Bekas,2021,30 - 35K km,Abu-abu,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2021 Porsche Taycan 0.0 4S Sedan,Rp 3.650.000.000,Mobil Bekas,2021,5 - 10K km,Hitam,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2021 Porsche Taycan 0.0 4S Sedan,Rp 3.775.000.000,Mobil Bekas,2021,5 - 10K km,Merah,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2019 Tesla Model X 0.0 75D Wagon,Rp 2.650.000.000,Mobil Bekas,2019,10 - 15K km,Biru,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Warranty #AUTOHIGH #BEST DEAL,Rp 740.000.000,Mobil Bekas,2023,0 - 5K km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Garansi #AUTOHIGH #BEST DEAL,Rp 740.000.000,Mobil Bekas,2023,600 km,Silver,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 KIA EV6 0.0 GT-Line Wagon LIKE NEW ISTIMEWA,Rp 1.100.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Rp 735.000.000,Mobil Bekas,2023,5 - 10K km,Putih,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Rp 735.000.000,Mobil Bekas,2023,8000 km,Putih,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Rp 735.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2023 KIA EV6 0.0 GT-Line Wagon,Rp 1.195.000.000,Mobil Bekas,2023,0 - 5K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2022 Wuling EV 0.0 Air ev Standard Range Hatchback SERVICE RECORD SANGAT TERAWAT,Rp 245.000.000,Mobil Bekas,2022,10 - 15K km,Kuning,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
"2021 Lexus UX300e ,0 Base Spec Hatchback",Rp 975.000.000,Mobil Bekas,2021,38000 km,Abu-abu,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Rp 250.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2020 Tesla Model 3 0.0 Standard Range Sedan,Rp 775.000.000,Mobil Bekas,2020,20 - 25K km,Merah,cc,Automatic,5,4,Complete Built Up (CBU),Electric
2023 Lexus RZ450e 0.0 Luxury Wagon,Rp 2.200.000.000,Mobil Bekas,2023,0 - 5K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 KIA EV6 0.0 GT-Line Wagon hitam km 1 rban cash kredit proses bisa dibantu,Rp 1.050.000.000,Mobil Bekas,2023,0 - 5K km,Hitam,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback putih km4rban tangan pertama,Rp 215.000.000,Mobil Bekas,2023,0 - 5K km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback galaxy blue biru km100perak pajak panjang cash kredit bisa dibantu,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback biru km 7 rb pajak panjang cash kredit bisa,Rp 209.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Rp 650.000.090,Mobil Bekas,2023,0 - 5K km,Abu-abu,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Rp 215.000.000,Mobil Bekas,2022,10 - 15K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback  KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Rp 215.000.000,Mobil Bekas,2022,10 - 15K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Wuling EV 0.0 Air ev Long Range Hatchback  KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Rp 215.000.000,Mobil Bekas,2022,10 - 15K km,Lainnya,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Like New Low KM Garansi Aktif,Rp 650.000.000,Mobil Bekas,2023,0 - 5K km,Emas,cc,Automatic,5,5,Complete Knock Down (CKD),Electric
"2023 Wuling EV ,0 Air ev Long Range Hatchback",Rp 205.000.000,Mobil Bekas,2023,4000 km,Putih,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Porsche Taycan 0.0 4S Performance Battery Sedan,Rp 2.750.000.000,Mobil Bekas,2022,0 - 5K km,Biru,cc,Automatic,4,4,Complete Built Up (CBU),Electric
2023 BMW iX 0.0 xDrive40 Sport Wagon Km 1.400 Langsung Nama,Rp 1.750.000.000,Mobil Bekas,2023,0 - 5K km,Marun,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2023 Wuling EV 0.0 Air ev Long Range Hatchback biru km 100 an perak siap pakai cash kredit bisa dibantu,Rp 219.000.000,Mobil Bekas,2023,0 - 5K km,Biru,cc,Automatic,4,3,Complete Knock Down (CKD),Electric
2022 Tesla Model Y 0.0 Long Range Wagon,Rp 1.290.000.000,Mobil Bekas,2022,5 - 10K km,Biru,cc,Automatic,5,5,Complete Built Up (CBU),Electric
2020 Porsche Taycan 0.0 4S Performance Battery Sedan,Rp 2.750.000.000,Mobil Bekas,2020,0 - 5K km,Biru,cc,Automatic,4,4,Complete Built Up (CBU),Electric
