nama_mobil,kondisi,harga,tahun_kendaraan,kilometer,warna,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,daerah,transmisi
2022 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Mobil Bekas,Rp 630.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
"2022 Tesla Model Y ,0 Standard Range Wagon",Mobil Bekas,Rp 1.390.000.000,2022.0,153 km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
"2020 Tesla Model 3 0.0 Standard Range Plus Sedan, Hub Kevin 0852 1399 2219",Mobil Bekas,Rp 900.000.000,2020.0,15 - 20K km,Silver,cc,Electric,Complete Built Up (CBU),5.0,4.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Charging Pile Hatchback Like New Low Km 5Rban,Mobil Bekas,Rp 235.000.000,2022.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2020 Hyundai IONIQ 0.0 Electric Signature Fastback,Mobil Bekas,Rp 420.000.000,2020.0,85 - 90K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback Avocado Green LOW KM 4RB,Mobil Bekas,Rp 210.000.000,2022.0,2500 km,Hijau,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2021 Hyundai Kona 0.0 Signature Wagon Electric Vehicle EV,Mobil Bekas,Rp 399.000.000,2021.0,30 - 35K km,Abu-abu,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2021 Porsche Taycan 0.0 4S Sedan,Mobil Bekas,Rp 3.650.000.000,2021.0,5 - 10K km,Hitam,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2021 Porsche Taycan 0.0 4S Sedan,Mobil Bekas,Rp 3.775.000.000,2021.0,5 - 10K km,Merah,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2019 Tesla Model X 0.0 75D Wagon,Mobil Bekas,Rp 2.650.000.000,2019.0,10 - 15K km,Biru,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Warranty #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 740.000.000,2023.0,0 - 5K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Garansi #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 740.000.000,2023.0,600 km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Warranty #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 740.000.000,2023.0,0 - 5K km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 KIA EV6 0.0 GT-Line Wagon LIKE NEW ISTIMEWA,Mobil Bekas,Rp 1.100.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 Silver Matte On Black Panoramic Sunroof ATPM Garansi #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 740.000.000,2023.0,600 km,Silver,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 735.000.000,2023.0,5 - 10K km,Putih,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 735.000.000,2023.0,8000 km,Putih,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 735.000.000,2023.0,8000 km,Putih,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Nik2023 White On Black Km8000 Perfect Panoramic Sunroof PBD #AUTOHIGH #BEST DEAL,Mobil Bekas,Rp 735.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2023 KIA EV6 0.0 GT-Line Wagon,Mobil Bekas,Rp 1.195.000.000,2023.0,0 - 5K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Standard Range Hatchback SERVICE RECORD SANGAT TERAWAT,Mobil Bekas,Rp 245.000.000,2022.0,10 - 15K km,Kuning,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
"2021 Lexus UX300e ,0 Base Spec Hatchback",Mobil Bekas,Rp 975.000.000,2021.0,38000 km,Abu-abu,cc,Electric,Complete Built Up (CBU),5.0,5.0,Banten,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback,Mobil Bekas,Rp 250.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2020 Tesla Model 3 0.0 Standard Range Sedan,Mobil Bekas,Rp 775.000.000,2020.0,20 - 25K km,Merah,cc,Electric,Complete Built Up (CBU),5.0,4.0,DKI Jakarta,Automatic
2023 Lexus RZ450e 0.0 Luxury Wagon,Mobil Bekas,Rp 2.200.000.000,2023.0,0 - 5K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 KIA EV6 0.0 GT-Line Wagon hitam km 1 rban cash kredit proses bisa dibantu,Mobil Bekas,Rp 1.050.000.000,2023.0,0 - 5K km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback putih km4rban tangan pertama,Mobil Bekas,Rp 215.000.000,2023.0,0 - 5K km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback galaxy blue biru km100perak pajak panjang cash kredit bisa dibantu,Mobil Bekas,Rp 219.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback biru km 7 rb pajak panjang cash kredit bisa,Mobil Bekas,Rp 209.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon,Mobil Bekas,Rp 650.000.090,2023.0,0 - 5K km,Abu-abu,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback  KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,Jawa Barat,Automatic
2022 Wuling EV 0.0 Air ev Long Range Hatchback  KM 11.000 Wuling Air EV Long Range 2022 Peach Pink On Beige Exclusive Priority Edition Like New,Mobil Bekas,Rp 215.000.000,2022.0,10 - 15K km,Lainnya,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 Hyundai IONIQ 5 0.0 Long Range Signature Wagon Like New Low KM Garansi Aktif,Mobil Bekas,Rp 650.000.000,2023.0,0 - 5K km,Emas,cc,Electric,Complete Knock Down (CKD),5.0,5.0,DKI Jakarta,Automatic
"2023 Wuling EV ,0 Air ev Long Range Hatchback",Mobil Bekas,Rp 205.000.000,2023.0,4000 km,Putih,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Porsche Taycan 0.0 4S Performance Battery Sedan,Mobil Bekas,Rp 2.750.000.000,2022.0,0 - 5K km,Biru,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2023 BMW iX 0.0 xDrive40 Sport Wagon Km 1.400 Langsung Nama,Mobil Bekas,Rp 1.750.000.000,2023.0,0 - 5K km,Marun,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Long Range Hatchback biru km 100 an perak siap pakai cash kredit bisa dibantu,Mobil Bekas,Rp 219.000.000,2023.0,0 - 5K km,Biru,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2022 Tesla Model Y 0.0 Long Range Wagon,Mobil Bekas,Rp 1.290.000.000,2022.0,5 - 10K km,Biru,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2020 Porsche Taycan 0.0 4S Performance Battery Sedan,Mobil Bekas,Rp 2.750.000.000,2020.0,0 - 5K km,Biru,cc,Electric,Complete Built Up (CBU),4.0,4.0,DKI Jakarta,Automatic
2021 Hyundai IONIQ 0.0 Electric Signature Fastback,Mobil Bekas,Rp 450.000.000,2021.0,30 - 35K km,Abu-abu,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
2023 Wuling EV 0.0 Air ev Standard Range Hatchback LIKE NEW,Mobil Bekas,Rp 180.000.000,2023.0,0 - 5K km,Kuning,cc,Electric,Complete Knock Down (CKD),4.0,3.0,DKI Jakarta,Automatic
2023 TANPA INDENT !!! Kia EV6 GT-Line AWD AT Hitam Metalik,Mobil Bekas,Rp 1.050.000.000,2023.0,1000 km,Hitam,cc,Electric,Complete Built Up (CBU),5.0,5.0,DKI Jakarta,Automatic
